id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,CIPRO,CEFTRIAXONE,AMOXICILLIN
GENOME_0034,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,9,2,1,4,1,9,4,3,10,4,4,0,1,2,4,0.15,0.64,0.58,0.23,0.23,0.77,0.12,0.56,0.08,0.92,S,I,S
GENOME_0035,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,4,3,0,3,4,3,7,3,0,6,5,0,1,7,10,0.05,0.74,0.96,0.38,0.17,0.8,0.18,0.59,0.46,0.85,S,S,S
GENOME_0036,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,3,1,1,3,1,6,6,0,7,7,1,9,1,2,4,0.36,0.85,0.53,0.46,0.84,0.74,0.25,0.44,0.35,0.87,S,S,S
GENOME_0037,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,5,2,5,3,0,5,4,1,7,4,4,5,2,1,0,0.35,0.89,0.32,0.44,0.59,0.66,0.23,0.42,0.14,0.83,S,S,S
GENOME_0038,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,4,3,6,8,2,1,4,1,2,5,3,7,0,8,1,0.17,0.69,0.4,0.24,0.35,0.9,0.27,0.39,0.23,0.99,R,S,S
GENOME_0039,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,7,1,7,5,4,3,5,3,5,7,6,3,1,5,2,0.14,0.37,0.49,0.6,0.29,0.83,0.16,0.36,0.08,0.97,S,S,R
GENOME_0040,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,5,5,8,0,8,2,1,5,5,4,6,1,6,2,0.15,0.48,0.27,0.85,0.36,0.88,0.15,0.63,0.4,0.98,S,S,R
GENOME_0041,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,5,4,5,2,2,7,6,0,6,9,1,4,2,0,6,0.34,0.69,0.85,0.55,0.39,0.88,0.38,0.49,0.11,0.35,I,R,S
GENOME_0042,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,3,2,5,0,5,6,3,2,8,4,1,0,2,1,0.51,0.69,0.01,0.34,0.3,0.97,0.07,0.52,0.43,0.83,S,S,I
GENOME_0043,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,5,1,8,10,2,0,3,3,9,7,3,4,0,6,2,0.17,0.94,0.15,0.35,0.47,0.83,0.24,0.4,0.13,0.9,R,I,S
GENOME_0044,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,3,5,1,8,2,6,1,0,0,10,4,1,0,7,0,0.37,0.9,0.38,0.74,0.39,0.78,0.43,0.29,0.24,1.0,R,I,S
GENOME_0045,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,4,7,1,0,4,0,8,8,5,8,0,1,0,0.1,0.41,0.13,0.58,0.04,0.83,0.13,0.21,0.02,0.99,S,S,S
GENOME_0046,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,1,2,8,3,7,7,0,5,5,0,0,0,4,0,0.27,0.85,0.97,0.3,0.69,0.76,0.27,0.18,0.23,0.48,S,S,S
GENOME_0047,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,2,5,0,3,3,2,4,2,4,4,6,2,2,4,0,0.39,0.88,0.95,0.68,0.01,0.75,0.51,0.46,0.04,0.95,S,S,I
GENOME_0048,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,6,5,1,2,0,8,1,1,1,8,2,0,1,8,3,0.27,0.84,0.19,0.53,0.2,0.98,0.11,0.48,0.22,0.99,I,S,S
GENOME_0049,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,5,10,2,4,4,1,3,5,6,4,0,2,0,0.12,0.75,0.59,0.61,0.36,0.78,0.1,0.58,0.09,0.89,S,S,S
GENOME_0050,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,9,0,0,3,3,5,5,3,4,4,3,3,0,4,3,0.48,0.89,0.84,0.56,0.04,0.77,0.26,0.16,0.09,0.99,S,S,S
GENOME_0051,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,3,1,1,3,0,3,2,1,9,6,3,10,1,7,5,0.42,0.47,0.03,0.6,0.39,0.86,0.44,0.39,0.32,0.86,S,R,S
GENOME_0052,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,8,2,4,4,0,5,2,3,3,5,3,5,1,2,2,0.15,0.82,0.99,0.31,0.22,0.86,0.08,0.78,0.18,0.71,S,S,S
GENOME_0053,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,6,2,0,4,4,8,3,3,9,3,5,4,0,5,2,0.08,0.95,0.67,0.37,0.28,0.85,0.12,0.64,0.27,0.51,S,S,S
GENOME_0054,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,3,2,3,4,1,6,5,2,3,9,0,6,2,8,10,0.55,0.84,0.83,0.41,0.18,0.64,0.08,0.43,0.18,0.85,I,S,S
GENOME_0055,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,2,4,5,1,1,3,3,10,10,0,6,1,9,4,0.12,0.88,0.39,0.18,0.56,0.73,0.13,0.28,0.28,0.92,S,S,R
GENOME_0056,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,4,5,4,2,2,10,4,2,5,3,2,9,1,3,9,0.39,0.66,0.55,0.51,0.19,0.68,0.14,0.29,0.03,0.54,S,S,S
GENOME_0057,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,7,5,4,2,3,5,6,1,3,5,1,10,2,6,1,0.06,0.73,0.77,0.5,0.28,0.71,0.26,0.27,0.21,0.84,I,S,S
GENOME_0058,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,8,5,2,10,7,2,8,9,2,4,1,7,3,0.74,0.72,0.89,0.55,0.08,0.89,0.08,0.67,0.23,0.98,I,I,R
GENOME_0059,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,8,0,8,2,3,10,2,0,1,4,3,9,1,5,0,0.59,0.54,0.17,0.05,0.07,0.79,0.11,0.4,0.25,0.99,R,R,S
GENOME_0060,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,4,0,4,5,3,8,7,2,4,7,3,0,0,0,9,0.27,0.53,0.4,0.52,0.01,0.81,0.17,0.59,0.14,0.75,I,S,S
GENOME_0061,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,5,4,5,3,3,7,3,3,2,6,6,8,1,5,8,0.12,0.74,0.65,0.7,0.11,0.98,0.04,0.73,0.14,0.87,S,I,S
GENOME_0062,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,6,3,7,8,3,10,7,1,7,10,3,1,1,3,2,0.11,0.37,0.85,0.37,0.54,0.74,0.02,0.39,0.01,0.39,S,R,R
GENOME_0063,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,8,2,6,7,3,0,3,3,2,5,6,6,2,2,7,0.19,0.86,0.71,0.66,0.14,0.88,0.05,0.49,0.26,0.83,S,S,S
GENOME_0064,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,6,3,5,3,4,4,5,1,7,8,2,2,1,2,3,0.09,0.94,0.57,0.2,0.03,0.94,0.05,0.85,0.25,0.84,S,S,R
GENOME_0065,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,3,2,3,3,4,5,7,3,7,6,1,9,2,2,5,0.36,0.65,0.97,0.71,0.0,0.8,0.25,0.48,0.17,0.74,S,S,R
GENOME_0066,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,4,2,2,2,3,8,6,2,1,4,1,5,2,0,9,0.2,0.5,0.13,0.43,0.38,0.92,0.41,0.25,0.2,0.83,S,S,I
GENOME_0067,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,2,2,3,5,0,3,4,3,10,3,2,4,2,9,10,0.25,0.55,0.43,0.22,0.76,0.86,0.14,0.5,0.23,0.83,S,R,S
GENOME_0068,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,2,3,0,0,1,0,9,4,5,5,1,9,3,0.42,0.88,0.33,0.46,0.0,0.93,0.05,0.32,0.46,0.97,S,S,I
GENOME_0069,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,2,5,7,6,1,5,5,0,6,4,3,9,2,0,3,0.26,0.7,0.43,0.41,0.47,0.78,0.48,0.13,0.17,0.89,R,I,R
GENOME_0070,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,4,5,5,3,8,5,1,10,5,6,4,0,1,10,0.16,0.65,0.82,0.28,0.44,0.79,0.2,0.65,0.49,0.58,S,S,R
GENOME_0071,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,2,5,2,0,5,4,1,5,6,6,8,1,4,5,0.27,0.97,0.58,0.69,0.03,0.93,0.26,0.45,0.02,0.97,S,S,S
GENOME_0072,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,6,2,0,6,1,6,1,2,10,7,2,7,1,6,7,0.12,0.86,0.13,0.38,0.08,0.92,0.38,0.49,0.09,0.78,S,S,S
GENOME_0073,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,8,2,4,6,0,9,5,3,0,6,2,0,2,4,8,0.62,0.76,0.01,0.45,0.04,0.9,0.22,0.56,0.04,0.54,R,S,I
GENOME_0074,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,1,7,6,1,3,3,0,1,7,4,8,2,2,1,0.13,0.85,0.24,0.39,0.01,0.62,0.12,0.86,0.47,0.98,S,S,S
GENOME_0075,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,9,2,1,3,2,1,3,2,3,3,4,1,2,4,5,0.24,0.49,0.1,0.3,0.22,0.96,0.47,0.35,0.08,0.99,S,S,S
GENOME_0076,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,9,0,2,5,0,2,3,1,1,6,6,4,2,5,0,0.13,0.89,0.62,0.25,0.04,0.94,0.17,0.52,0.31,0.94,S,S,S
GENOME_0077,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,8,6,3,10,6,2,4,7,6,5,0,3,6,0.1,0.3,0.14,0.27,0.38,0.66,0.21,0.61,0.4,0.95,S,S,S
GENOME_0078,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,6,3,3,7,3,0,6,1,2,6,6,9,1,3,9,0.23,0.64,0.58,0.24,0.1,0.74,0.31,0.19,0.11,0.93,R,R,S
GENOME_0079,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,2,5,4,8,4,1,7,1,5,4,0,0,2,0,2,0.17,0.73,0.88,0.5,0.13,0.7,0.2,0.3,0.55,0.38,S,R,S
GENOME_0080,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,5,6,4,2,6,3,2,8,3,0,6,0,6,8,0.58,0.83,0.37,0.49,0.01,0.89,0.19,0.51,0.1,0.61,R,S,R
GENOME_0081,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,3,0,4,4,2,8,1,3,9,6,2,7,2,7,5,0.11,0.71,0.66,0.63,0.08,0.86,0.18,0.38,0.01,0.93,S,S,S
GENOME_0082,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,10,3,1,3,0,8,7,2,6,8,4,0,0,3,8,0.49,0.99,0.27,0.54,0.39,0.64,0.07,0.77,0.46,0.98,I,S,S
GENOME_0083,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,8,4,6,10,1,8,6,1,4,4,3,10,1,5,5,0.4,0.69,0.64,0.33,0.38,0.86,0.18,0.69,0.12,0.99,I,R,R
GENOME_0084,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,5,1,5,2,4,10,4,0,0,8,0,9,0,5,3,0.14,0.74,0.8,0.29,0.01,0.97,0.44,0.4,0.07,0.95,R,S,S
GENOME_0085,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,5,0,8,4,2,0,4,3,0,4,3,3,2,0,5,0.21,0.37,0.03,0.36,0.14,0.74,0.28,0.47,0.15,0.84,S,S,R
GENOME_0086,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,6,2,1,4,2,6,1,3,0,3,3,1,1,9,0,0.31,0.73,0.64,0.25,0.04,0.72,0.34,0.33,0.42,0.92,S,S,S
GENOME_0087,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,4,1,9,3,6,4,0,2,6,0,4,2,3,9,0.19,0.88,0.74,0.42,0.52,0.94,0.13,0.36,0.22,0.86,I,I,S
GENOME_0088,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,4,2,7,7,3,8,3,3,6,10,5,1,1,5,7,0.41,0.59,0.43,0.6,0.02,0.85,0.1,0.25,0.41,0.93,S,R,S
GENOME_0089,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,3,3,0,4,1,8,1,1,8,8,2,8,2,8,9,0.08,0.92,0.94,0.61,0.23,0.82,0.2,0.21,0.01,0.95,S,S,S
GENOME_0090,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,3,3,7,2,0,0,3,2,5,5,4,8,0,3,7,0.06,0.93,0.15,0.06,0.11,0.98,0.08,0.23,0.0,0.92,S,S,I
GENOME_0091,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,1,4,4,1,9,4,1,6,9,0,9,1,8,2,0.24,0.57,0.8,0.58,0.72,0.9,0.23,0.45,0.08,0.94,R,S,S
GENOME_0092,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,4,0,5,0,4,7,3,10,9,1,4,0,3,4,0.27,0.84,0.5,0.43,0.08,0.78,0.39,0.38,0.03,0.85,S,S,S
GENOME_0093,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,4,3,0,2,4,1,5,0,2,5,1,4,0,6,4,0.42,0.8,0.34,0.64,0.08,0.67,0.11,0.29,0.02,0.74,S,S,I
GENOME_0094,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,6,2,5,4,2,5,1,3,10,8,3,3,2,6,2,0.28,0.39,0.39,0.34,0.03,0.84,0.18,0.6,0.03,0.95,I,S,S
GENOME_0095,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,2,5,1,5,1,1,2,1,7,9,1,0,1,7,10,0.23,0.7,0.34,0.24,0.27,0.65,0.35,0.22,0.09,0.61,S,S,S
GENOME_0096,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,8,0,5,7,3,9,5,3,9,0,6,10,0.5,0.87,0.18,0.48,0.26,0.9,0.04,0.24,0.16,0.65,S,S,S
GENOME_0097,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,5,4,6,2,3,5,4,5,2,2,5,5,0.19,0.78,0.09,0.37,0.11,0.68,0.06,0.1,0.23,0.82,S,S,S
GENOME_0098,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,4,5,0,2,1,5,6,1,2,6,5,3,2,2,10,0.11,0.73,0.88,0.8,0.17,0.78,0.24,0.29,0.03,0.81,S,R,R
GENOME_0099,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,4,4,3,10,2,10,3,3,1,10,5,6,0,9,8,0.27,0.67,0.17,0.14,0.0,0.73,0.26,0.39,0.12,0.92,R,R,S
GENOME_0100,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,3,4,4,7,4,0,4,1,8,7,5,6,0,6,10,0.43,0.71,0.54,0.51,0.02,0.73,0.05,0.62,0.28,0.91,R,I,I
GENOME_0101,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,7,3,3,10,3,3,3,0,10,6,6,10,0,5,2,0.26,0.72,0.75,0.53,0.31,0.59,0.14,0.58,0.12,0.84,R,R,I
GENOME_0102,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,5,8,2,2,6,3,6,3,5,6,2,9,8,0.07,0.91,0.66,0.42,0.04,0.66,0.23,0.64,0.01,0.28,S,S,S
GENOME_0103,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,3,5,7,5,3,4,6,0,9,7,4,6,1,7,7,0.4,0.62,0.11,0.54,0.24,0.74,0.22,0.47,0.23,0.55,I,I,R
GENOME_0104,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,4,1,1,2,4,6,2,2,9,3,0,10,2,3,4,0.2,0.53,0.74,0.85,0.04,0.77,0.03,0.77,0.03,0.7,S,S,R
GENOME_0105,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,8,5,0,8,4,2,7,3,8,10,0,3,0,6,8,0.35,0.31,0.23,0.77,0.06,0.66,0.25,0.67,0.14,0.79,R,S,S
GENOME_0106,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,2,1,1,10,3,0,1,2,3,8,4,8,2,6,6,0.45,0.68,0.91,0.53,0.66,0.93,0.07,0.72,0.03,0.97,S,S,R
GENOME_0107,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,5,5,7,0,10,3,0,3,8,3,3,1,2,2,0.54,0.48,0.76,0.73,0.56,0.59,0.35,0.6,0.14,0.96,I,R,I
GENOME_0108,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,3,5,3,2,4,10,4,0,5,6,5,5,2,7,9,0.2,0.91,0.12,0.59,0.18,0.92,0.03,0.61,0.31,0.98,S,R,I
GENOME_0109,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,9,5,6,10,1,8,2,1,1,3,6,0,2,9,1,0.53,0.69,0.08,0.46,0.35,0.5,0.2,0.57,0.21,0.94,R,R,R
GENOME_0110,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,5,5,1,8,1,5,1,2,9,9,2,0,2,1,10,0.28,0.65,0.56,0.1,0.0,0.49,0.07,0.54,0.08,0.95,I,S,S
GENOME_0111,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,6,5,0,2,4,5,3,2,0,4,1,5,2,2,4,0.03,0.83,0.42,0.46,0.29,0.87,0.05,0.81,0.03,0.59,S,S,S
GENOME_0112,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,3,5,4,5,3,3,1,1,9,5,6,0,2,0,2,0.18,0.97,0.19,0.22,0.14,0.85,0.09,0.61,0.38,0.8,S,R,I
GENOME_0113,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,3,1,8,6,3,10,5,2,2,9,5,0,0,1,9,0.34,0.92,0.08,0.83,0.73,0.97,0.39,0.89,0.14,0.84,S,S,S
GENOME_0114,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,5,1,5,3,2,0,2,0,10,9,4,5,1,0,8,0.14,0.6,0.58,0.32,0.75,0.9,0.14,0.38,0.04,0.98,S,R,S
GENOME_0115,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,3,5,4,3,8,7,0,4,6,1,7,0,5,10,0.43,0.54,0.73,0.85,0.09,0.94,0.12,0.47,0.42,0.88,R,R,R
GENOME_0116,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,4,5,0,3,0,9,3,0,1,7,2,8,2,4,9,0.29,0.83,0.15,0.62,0.43,0.95,0.12,0.67,0.27,0.72,S,R,S
GENOME_0117,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,10,2,0,5,0,6,1,0,8,10,6,5,2,5,6,0.19,0.89,0.41,0.38,0.46,0.8,0.1,0.49,0.17,0.98,S,I,S
GENOME_0118,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,8,1,9,7,3,0,7,3,0,2,2,9,0.44,0.89,0.69,0.5,0.03,0.66,0.03,0.57,0.1,0.65,S,I,S
GENOME_0119,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,7,3,1,6,4,6,3,1,2,3,6,6,1,6,9,0.23,0.78,0.82,0.55,0.64,0.85,0.21,0.34,0.19,0.75,S,R,R
GENOME_0120,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,4,1,2,8,1,10,7,3,4,5,5,1,0,3,7,0.23,0.57,0.56,0.59,0.34,0.77,0.19,0.49,0.18,0.8,S,I,S
